REFERENCIA;DESCRIPCION;INVIMA
187176-L110NLT;2.0-Placa en L  6 Orifi 36mm -L Doble cara  110§;Invima:2025DM-0031031
187177-L110NST;2.0-Placa en L  7 Orifi 28mm -S una cara 110§;Invima:2025DM-0031031
187174-ZP6T;Placa en Z  de 4 Orificios puente corto ;Invima:2025DM-0031031
187174-ZP12T;Placa en Z  de 4 Orificios puente largo ;Invima:2025DM-0031031
2207205-T;2.0-Mini Tornillo Cortical Cross de 5mm;Invima:2025DM-0031031
2207207-T;2.0-Mini Tornillo Cortical Cross de 7mm;Invima:2025DM-0031031
2207209-T;2.0-Mini Tornillo Cortical Cross de 9mm;Invima:2025DM-0031031
22072011-T;2.0-Mini Tornillo Cortical Cross de 11mm;Invima:2025DM-0031031
22072013-T;2.0-Mini Tornillo Cortical Cross de 13mm;Invima:2025DM-0031031
22072015-T;2.0-Mini Tornillo Cortical Cross de 15mm;Invima:2025DM-0031031
22072018-T;2.0-Mini Tornillo Cortical Cross de 18mm;Invima:2025DM-0031031
22072020-T;2.0-Mini Tornillo Cortical Cross de 20mm;Invima:2025DM-0031031
22072022-T;2.0-Mini Tornillo Cortical Cross de 22mm;Invima:2025DM-0031031
22072024-T;2.0-Mini Tornillo Cortical Cross de 24mm;Invima:2025DM-0031031
2207235-ET;2.3-Mini Tornillo Cortical Cross de Emergencia de 5mm;Invima:2025DM-0031031
2207237-ET;2.3-Mini Tornillo Cortical Cross de Emergencia de 7mm;Invima:2025DM-0031031
2207239-ET;2.3-Mini Tornillo Cortical Cross de Emergencia de 9mm;Invima:2025DM-0031031
22072311-ET;2.3-Mini Tornillo Cortical Cross de Emergencia de 11mm;Invima:2025DM-0031031
2207205-APT;2.0-Mini Tornillo Cortical Cross Auoperforante de 5mm;Invima:2025DM-0031031
2207207-APT;2.0-Mini Tornillo Cortical Cross Auoperforante de 7mm;Invima:2025DM-0031031
2207209-APT;2.0-Mini Tornillo Cortical Cross Auoperforante de 9mm;Invima:2025DM-0031031
22072011-APT;2.0-Mini Tornillo Cortical Cross Auoperforante de 11mm;Invima:2025DM-0031031
2307206-IMFT;2.0-Tornillo IMF de 6mm;Invima:2025DM-0031031
2307207-IMFT;2.0-Tornillo IMF de 7mm;Invima:2025DM-0031031
2307208-IMFT;2.0-Tornillo IMF de 8mm;Invima:2025DM-0031031
2307209-IMFT;2.0-Tornillo IMF de 9mm;Invima:2025DM-0031031
23072012-IMFT;2.0-Tornillo IMF de 12mm;Invima:2025DM-0031031
187244-RT;2.4-Placa Recta 4 Orificios  s/p;Invima:2025DM-0031031
187246-RT;2.4-Placa Recta 6 Orificios  s/p;Invima:2025DM-0031031
187248-RT;2.4-Placa Recta 8 Orificios s/p;Invima:2025DM-0031031
1872412-RT;2.4-Placa Recta 12 Orificios  s/p (Dorada);Invima:2025DM-0031031
1872416-RT;2.4-Placa Recta 16 Orificios  s/p;Invima:2025DM-0031031
187244-RPMT;2.4-Placa Recta 4 Orificios Con Puente Medio;Invima:2025DM-0031031
187246-RPMT;2.4-Placa Recta 6 Orificios Con Puente Medio;Invima:2025DM-0031031
187246-RPMT;2.4-Placa Recta 6 Orificios Con Puente Medio (dorada);Invima:2025DM-0031031
187244-CPT;2.4-Placa Curva 4 Orificios Con Puente ;Invima:2025DM-0031031
187246-CPT;2.4-Placa Curva 6 Orificios Con Puente ;Invima:2025DM-0031031
187244-OIPT;2.4-Placa Oblicua 4 Orificios Con Puente -IZQ;Invima:2025DM-0031031
187244-ODPT;2.4-Placa Oblicua 4 Orificios Con Puente -DER;Invima:2025DM-0031031
187246-OIPT;2.4-Placa Oblicua 6 Orificios Con Puente IZQ;Invima:2025DM-0031031
187246-ODPT;2.4-Placa Oblicua 6 Orificios Con Puente DER;Invima:2025DM-0031031
187186-RT;2.4-Placa Recta Bloqueada 6 Orificios  s/p;Invima:2025DM-0031031
187188-RT;2.4-Placa Recta Bloqueada 8 Orificios  s/p;Invima:2025DM-0031031
1871812-RT;2.4-Placa Recta Bloqueada 12 Orificios  s/p;Invima:2025DM-0031031
1871816-RT;2.4-Placa Recta Bloqueada 16 Orificios  s/p;Invima:2025DM-0031031
187184-RPT;2.4-Placa Recta Bloqueada 4 Orificios  Con Puente;Invima:2025DM-0031031
187186-RPT;2.4-Placa Recta Bloqueada 6 Orificios  Con Puente;Invima:2025DM-0031031
187184-C110PT;2.4-Placa curva Bloqueada 4 Orificios  Con Puente 110§;Invima:2025DM-0031031
187186-C110PT;2.4-Placa curva Bloqueada 6 Orificios  Con Puente 110§;Invima:2025DM-0031031
187186-C120PT;2.4-Placa curva Bloqueada 6 Orificios  Con Puente 120§;Invima:2025DM-0031031
187188-C120PT;2.4-Placa curva Bloqueada 8 Orificios  Con Puente 120§;Invima:2025DM-0031031
;;Invima:2025DM-0031031
23087205-T;2.0-Tornillo de Bloqueo Cross 5mm;Invima:2025DM-0031031
23087207-T;2.0-Tornillo de Bloqueo Crfoss 7mm;Invima:2025DM-0031031
